"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_12","area_sentinel_id_16","area_sentinel_id_20"
"1",2.14,"P","2",208.711029052734,92.8125,1.806,"1",9861.57919696222,2658.98778835932,478118.454735979
"1",8,"P","2",224.368545532227,92.8125,0.774,"1",4277.91550815443,40685.9654700781,554093.772960422
"2",10.4,"P","2",64.2900085449219,86.601589,0.9718,"1",242251.670685196,8645.0919209669,104386.305094466
"1",24,"P","2",59.5166053771973,92.8125,0.9288,"1",0,13925.1780064156,53852.3002669836
"1",6.6,"K","1",200.431686401367,15.04934,1.118,"2",117322.618764597,28633.3333333333,197988.98076859
"1",21,"P","2",77.4561538696289,80.59533,1.376,"1",104.781199929615,5100,207483.387238493
"2",9.5,"P","2",54.2896385192871,69.67502,1.548,"1",214454.514993035,4158.4944919101,358733.505064981
"1",6.2,"P","2",163.100173950195,76.44378,1.548,"1",71866.6666666667,204982.325984187,95444.1095493734
"2",10,"P","2",73.3887557983398,71.7563,0.86,"1",131409.867745704,23927.0520567584,120043.828929029
"1",8,"P","2",190.041366577148,92.8125,0.5246,"1",0,572886.973478692,194125.673659425
"1",11,"P","2",179.359344482422,77.0938,2.8638,"1",71492.2475047439,20600,366481.020681913
"1",21,"P","2",166.132247924805,71.231593,1.548,"1",6487.43106126785,38687.2062589022,130996.91779598
"1",21,"P","2",124.557685852051,92.8125,0.774,"1",0,80825.4632123125,25215.5892045191
"1",9,"P","3",220.850296020508,54.37193,1.548,"2",12600,33577.8783578426,63759.0864271236
"1",19.3,"P","3",185.118591308594,60.47505,1.548,"2",108913.971967455,863800.825005695,9791.92987862043
"1",13,"P","2",87.3234024047852,65.61568,1.72,"1",617930.135907686,0,175168.680742566
"1",6,"P","2",180.572128295898,74.237853,1.548,"1",53300,20674.5118301362,395298.920858789
"2",10.18,"P","2",82.5814971923828,68.673455,2.15,"2",197144.797262739,0,196887.254712079
"2",12,"P","2",75.2991714477539,92.8125,1.118,"1",25300.7067910579,8866.66666666667,154775.639318361
"2",4.3,"P","2",84.5964279174805,22.580005,1.29,"2",46397.6595898178,231418.679424987,379192.97904723
"1",3.04,"P","2",122.649917602539,92.8125,0.5246,"1",54579.7257662984,180494.08197292,399413.396756299
"1",3.8,"P","2",2.42395925521851,92.8125,2.408,"1",2633.33333333333,20807.6593775904,281233.6903979
"1",1.5,"P","2",81.8270111083984,14.21438,2.666,"2",2908.11024930117,0,10774.8636196057
"1",4,"P","3",171.418792724609,32.03132,2.0382,"1",66.6666666666667,600,177131.456113743
"1",20,"K/Ka","2",160.907669067383,15.474275,1.419,"2",17692.648109328,8581.13197606678,168906.538534196
"1",70,"K","1",25.1426601409912,14.21438,2.666,"2",205194.581780956,89759.3080488655,105636.632345134
"1",6,"P","2",157.336303710938,92.8125,0.5246,"1",138671.965425009,20225.9278050313,203119.092728971
"2",5.94,"P","2",64.1271362304688,86.95315,1.376,"1",150653.388865309,13633.3333333333,119057.179265578
"1",28,"K/Ka","2",89.4981384277344,20.3197,1.935,"2",32650.1437959164,19823.6542626284,115754.162133485
"1",3,"P","3",244.632293701172,34.440725,1.677,"2",0,152810.809499303,106731.643353959
"1",17,"K/Ka","2",93.5515213012695,20.61836,1.548,"3",484104.569254703,6066.66666666667,42244.3082536318
"1",30,"K","1",231.325958251953,50.29695,1.9522,"1",772.007674118504,9633.33333333333,76062.8310835726
"1",2.2,"K","2",142.613998413086,23.51255,1.548,"3",105455.890734064,23975.9759819019,115467.020406295
"1",0.9,"P","3",185.290863037109,26.72737,4.128,"3",46.5711530686046,8899.55316038832,265125.287760195
"1",13,"P","2",135.255279541016,92.8125,2.064,"1",214492.684378397,156108.604069442,337436.096454872
"1",15.3,"P","2",129.316101074219,46.94383,1.505,"2",205916.748589062,18966.6666666667,94551.8685527917
"1",13,"K","1",14.6669425964355,14.21438,3.44,"2",174742.095260981,78525.4634810699,29083.5938729191
"1",13,"K","1",147.702987670898,14.4927,1.72,"2",176950.759977262,6466.66666666667,121369.434025402
"1",5.5,"P","3",144.064208984375,47.8438,1.548,"2",45976.8406546364,407478.057917321,15287.5910697815
