"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_10","area_sentinel_id_7","area_sentinel_id_9"
"2",12.9,"P","2",211.816329956055,92.8125,0.5246,"1",1029612.83299356,956.144456068675,0
"1",11,"P","2",62.055908203125,92.8125,0.774,"1",799869.270258618,96782.822230986,2433.33333333333
"1",1.94,"K","1",63.7663841247559,27.13279,1.806,"1",217152.334517248,66.6666666666667,9500
"2",12.1,"P","2",97.0261001586914,92.8125,0.7826,"1",514090.445268697,2033.33333333333,17200
"1",17.33,"P","2",102.650314331055,60.40002,2.15,"2",21400,81746.7173932431,0
"1",21,"P","2",197.79606628418,92.8125,0.8686,"1",136961.741905403,102654.873163936,0
"1",10.31,"P","3",145.141494750977,63.57035,1.419,"1",366540.68705309,0,4365.85838310421
"1",39.41,"K/Ka","3",172.748977661133,18.73488,1.806,"3",218340.658791433,9916.82870611548,40766.6666666667
"1",52,"P","2",16.4574451446533,12.9465,5.16,"3",156658.20661065,0,0
"1",38,"K","2",11.769021987915,14.21438,3.44,"2",109607.263705812,29399.7353474454,0
"1",26.32,"K/P","2",114.006729125977,18.277892,0.817,"2",147942.171724992,2465.96864660581,192822.200378336
"1",14.05,"K","1",86.1888656616211,25.081025,1.29,"2",116950.403287927,5623.90217069769,0
"1",8.38,"P","2",248.758026123047,61.1313,1.634,"1",1041802.57079404,1766.66666666667,0
"1",5,"P","2",151.386779785156,92.8125,0.8686,"1",23857.7512919538,27586.8764091066,19133.3333333333
"1",12,"P","2",89.6735534667969,86.601589,0.9718,"1",33.3333333333333,40191.3438497014,57385.4472086047
"2",36,"P","2",59.0073051452637,92.8125,0.7568,"1",441073.249888649,1666.66666666667,22925.6126929152
"1",43.5,"P","2",193.212768554688,45.845405,1.548,"2",421147.64216183,5437.16433967153,37336.9182332264
"1",70,"P","2",310.497436523438,36.984475,2.58,"2",144619.010111825,4166.66666666667,21695.6106876654
"2",24,"P","2",154.202011108398,92.8125,2.322,"1",1017895.08171755,0,33.3333333333333
"2",4.7,"P","3",278.76904296875,49.512565,8.514,"2",207311.561660025,10425.3751188982,1800
"2",23.07,"P","2",73.916389465332,22.580005,1.29,"2",171050.945570524,5639.01369013086,4557.24562630057
"2",2.7,"P","2",200.019866943359,74.00318,1.032,"1",590016.972261417,0,0
"1",70,"P","2",101.004432678223,66.5625,2.15,"2",94498.4448364002,0,5506.27398287567
"1",30,"K","2",121.44068145752,14.4154,1.72,"2",241139.329343175,0,57633.3333333333
"1",10,"P","2",74.4272613525391,92.8125,2.408,"1",2700,36701.125010786,65451.3449867792
"1",23.79,"K/Ka","3",224.222869873047,18.73488,1.806,"3",33166.6327433661,3433.33333333333,33.3333333333333
"2",12,"P","2",62.3027458190918,92.8125,2.408,"1",327986.989997387,17685.2757798353,0
"1",2,"K","1",78.3747177124023,45.3126,1.29,"2",77538.2797204172,18933.3333333333,33.3333333333333
"2",6.07,"P","2",162.576187133789,92.8125,2.4854,"1",916803.000735964,4936.02447052908,1516.49459612866
"2",8.3,"P","2",141.372741699219,46.1876,2.15,"2",411645.012892438,0,0
"1",3.14,"P","2",59.6512413024902,92.8125,3.698,"1",1037991.95219233,47593.25545488,0
"1",7.02,"P","2",44.5734710693359,92.8125,2.408,"1",99568.089875266,126.278467973073,33.3333333333333
"1",9,"K","1",157.847579956055,39.93601,1.419,"1",190906.953249312,0,5049.41676594317
"1",2.54,"P","2",61.4643135070801,46.94383,1.505,"2",31109.243155842,3676.02583068619,0
"1",20,"K/Ka","2",173.662322998047,22.5938,2.3822,"1",466.666666666667,66.6666666666667,4192.2421978772
"2",24.4,"P","2",125.194618225098,86.95315,1.376,"1",63872.9967025556,18333.3333333333,34763.6217026661
"2",12.9,"P","2",73.5228958129883,70.47815,0.946,"1",136057.991794941,245710.071885871,66733.3333333333
"1",6.8,"P","2",91.7437438964844,13.1011,4.902,"2",413010.869709256,0,117433.333333333
"1",25,"K","2",126.615180969238,69.5714428571429,2.21142857142857,"2",202410.299295992,20012.3485424177,0
"1",70.1,"K","2",55.2677764892578,52.9844,3.225,"2",224582.514739611,33.3333333333333,124362.891094162
"1",5.9,"K/Ka","2",50.0324516296387,22.5938,2.3822,"1",248195.22393302,33.6717382383843,12500
"1",8.98,"P","2",83.1984786987305,42.4376,2.322,"2",30895.4667136228,0,6833.33333333333
"2",10,"P","2",208.370056152344,66.5625,1.806,"1",1167843.77048054,4033.33333333333,13333.3333333333
"1",23.2,"K","1",83.5404815673828,54.34504,3.053,"1",528846.426557578,233.333333333333,0
