"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"1",39,"P","2",75.4924011230469,92.8125,0.8686,"1",1847.23594933748,9803.73352182408
"1",21.73,"P","2",61.2975730895996,80.2938,1.032,"1",0,0
"1",5.66,"P","2",158.558807373047,15.41938,1.548,"2",0,0
"2",14,"P","2",152.627548217773,16.80542,1.634,"3",36570.2536779999,290660.586101612
"1",14.5,"P","2",38.5083808898926,92.8125,0.774,"1",0,5562.77698874474
"1",11.7,"K","1",34.841136932373,11.741154,0.774,"3",49642.0131635047,7164.63913105739
"1",6,"P","2",129.21337890625,80.59533,1.376,"1",0,466.666666666667
"1",16.03,"K","1",131.371475219727,45.3126,1.29,"2",33.3333333333333,8333.33333333333
"1",2.2,"P","3",295.979248046875,15.1885,3.612,"2",0,13862.8740218468
"1",0.75,"P","2",98.6878509521484,92.8125,2.408,"1",3800,3766.66666666667
"2",37,"K/P","2",94.3896636962891,69.195325,0.86,"1",115799.087926373,27489.0732594145
"2",1.6,"P","2",33.4399223327637,14.4927,1.72,"2",950217.347692496,23414.7448611989
"2",20,"P","2",183.144012451172,89.7375,0.946,"1",147162.036656798,79039.0085053009
"1",10,"P","2",132.337158203125,66.5625,0.989,"2",0,9224.68834078172
"1",4,"P","2",105.371452331543,92.8125,1.548,"1",233.333333333333,401143.699529557
"1",21,"P","2",137.736297607422,85.78128,0.774,"1",0,66072.7289963427
"1",5,"P","2",158.347030639648,71.231593,1.548,"1",0,16533.3333333333
"2",15,"P","2",79.4462127685547,85.78128,1.032,"1",0,160592.924008908
"1",11,"P","2",98.8996887207031,92.8125,1.376,"1",83938.1057712841,37555.3195077926
"1",15,"K","1",142.682205200195,65.03439,3.612,"1",75730.362308329,4366.66666666667
"1",3.1,"P","2",74.5209274291992,38.28132,1.505,"2",60557.2728820456,76641.4040594482
"1",52,"P","2",138.529357910156,55.04067,1.634,"2",66.6666666666667,38461.6734519698
"1",3.7,"P","2",106.304672241211,44.81885,3.096,"2",0,266.666666666667
"2",3.8,"P","2",95.3740005493164,22.84962,2.838,"3",119321.286705476,531926.351219084
"2",15.1,"P","3",314.472534179688,19.74599,2.666,"2",3700,43191.6201782102
"1",0,"K","1",96.6385116577148,41.0079,3.698,"2",0,10397.2882111867
"1",10.9,"P","2",41.9409980773926,92.8125,1.376,"1",0,210277.181245184
"1",5,"P","2",86.1299209594727,65.5313,2.58,"1",1000,79643.0203283902
"2",25.29,"P","3",239.802688598633,30.53974,0.774,"2",0,78264.9792339066
"2",8.8,"K/Ka","2",98.7864379882812,22.5938,2.236,"1",23367.8761002603,5900
"1",1.7,"P","3",192.384475708008,21.17029,1.548,"2",71449.3003573013,45974.9138896055
"2",5.26,"P","3",208.084030151367,18.73488,1.763,"1",8400,269206.859754383
"1",80,"P","2",225.607894897461,76.44378,1.032,"1",33.3333333333333,267730.337379807
"2",8,"P","2",227.997573852539,16.80542,1.634,"3",18874.7536668438,83171.1663468702
"1",54,"P","2",205.413208007812,19.80803,3.3282,"1",16634.2777532584,9922.92555874835
"2",5,"P","2",145.054168701172,46.1876,2.15,"2",15733.3333333333,119679.434203955
"2",5.07000000000001,"K","1",178.988861083984,15.8843,2.15,"2",83382.332327667,163163.737298393
"1",6,"P","2",227.307815551758,92.8125,2.322,"1",0,6700.85348476035
"1",39.5,"P","2",149.023178100586,66.5625,1.032,"2",22992.9246645227,15500
"1",5,"P","2",38.6325454711914,43.4501,3.612,"1",1315.07707356165,38333.3333333333
"1",2.98,"P","2",251.591156005859,92.8125,1.677,"1",19066.6666666667,8200.25366787365
"1",46,"K","1",133.004760742188,83.689394,1.5652,"1",33.3333333333333,3425.25899708271
"2",6.94,"K","1",124.466781616211,15.41938,1.548,"2",119808.507793969,6437.23041762908
"2",14.5,"K/Ka","2",172.196762084961,15.04934,1.118,"2",364176.887414442,9263.94275824229
"1",15,"P","3",292.019073486328,53.33288,2.451,"1",3666.66666666667,5523.66620154741
"1",6,"P","2",141.332870483398,89.7375,0.946,"1",16221.2338094367,48389.5652873066
"1",12.5,"K/Ka","2",61.9601440429688,16.3436764705882,1.51764705882353,"2",200,20281.4569965005
"2",15.99,"P","2",84.2534103393555,86.95315,1.376,"1",0,27038.674229756
"1",14.48,"P","2",81.8187255859375,84.95315,0.946,"1",0,36277.4390759412
"1",45.3,"P","2",42.0446968078613,62.25942,0.86,"1",0,3333.33333333333
"1",35.5,"P","3",346.500671386719,53.33288,2.451,"1",0,74247.5974248101
"1",11,"K","1",38.1083717346191,14.21438,2.666,"2",0,9402.4182073772
"1",14.5,"K","1",37.9821548461914,26.08095,2.58,"1",0,5866.66666666667
"1",14.6,"P","2",125.033569335938,22.5938,3.225,"2",0,27118.9328896425
"1",14,"K/Ka","2",38.1844024658203,26.7141,1.72,"3",0,29037.6689386088
