"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_1","area_sentinel_id_10","area_sentinel_id_12","area_sentinel_id_13","area_sentinel_id_14","area_sentinel_id_15","area_sentinel_id_16","area_sentinel_id_17","area_sentinel_id_18","area_sentinel_id_19","area_sentinel_id_2","area_sentinel_id_20","area_sentinel_id_21","area_sentinel_id_3","area_sentinel_id_4","area_sentinel_id_7","area_sentinel_id_9"
"1",4,"P","2",57.6811447143555,71.831295,2.279,"2",749538.862197157,71916.6927027271,572252.325763202,15455.467273033,71444.4634586291,0,42628.7847679108,0,0,0,515156.021148776,56054.0772971076,0,66797.6544282729,182048.182562217,23087.6099457343,185859.301640932
"2",7,"P","3",196.292327880859,34.440725,1.677,"2",140613.305427037,984766.202067312,33.3333333333333,686.718153669062,7033.33333333333,0,152466.196481405,0,16361.4710000654,0,247933.60931352,100835.782924853,348647.286026132,5362.29891403733,147104.07284689,0,28126.6475106279
"2",6.5,"P","2",57.4453048706055,92.8125,2.064,"1",98030.5788037095,373016.002085324,322062.229468446,8274.96005172531,2440.5451053511,3566.66666666667,65516.5094808316,0,3200,0,253238.226131802,135175.084825357,266.666666666667,718021.539276365,95004.3077300691,22204.1492935978,131775.960656314
"1",5.5,"P","2",35.0378341674805,39.16878,1.3416,"2",390064.112372617,338671.069553716,436805.232389043,7500,0,0,66.6666666666667,0,33.3333333333333,0,720277.854568651,154762.756156479,0,46545.9929872304,2489.81067749361,0,3700
"2",12.5,"P","2",210.942016601562,66.5625,0.989,"2",0,28587.6996360797,166069.639160049,0,0,41554.3578425772,690109.057584577,0,110577.559333434,0,384357.968975194,54928.4636408383,659475.682486078,311110.160087149,243388.014999552,0,21618.4060507764
"1",5,"K","1",192.60009765625,83.38128,0.387,"1",0,0,0,0,0,0,33.3333333333333,0,2000,0,0,90493.8381860654,2571.43819381793,0,0,0,0
"2",20,"K/Ka","1",175.532379150391,29.69186,5.719,"1",140324.588935081,171897.885327753,16472.7166771889,18914.8139613001,0,11600,55200,0,0,0,96014.0813840243,39242.0752873392,45727.180397722,0,591177.018289864,7233.33333333333,31650.0632615139
"2",6.1,"P","3",216.316864013672,15.8843,2.666,"2",125852.768790287,546609.415660525,51709.5373539875,0,13017.4844978688,5966.66666666667,54839.3920660882,14300.627724285,99198.772509333,0,58510.0617619251,179588.538927479,249563.491760336,0,89938.558508611,12786.0331207514,13186.6035980483
"2",18,"K/Ka","2",152.673477172852,29.69186,5.719,"1",25460.0483552941,43015.8231091763,13138.9505120615,0,4700,4300,9367.15397084287,0,8504.68475252468,0,22036.3653787722,168536.326486691,300,233.333333333333,14694.4582226841,33.3333333333333,4066.66666666667
"2",15.2,"P","2",166.778335571289,19.74599,2.666,"2",403235.722200362,853343.557237225,0,0,64881.6300586487,4322.06767421837,3853.33806072983,0,72449.0212819539,0,243186.126706426,50520.5945492509,158510.907308474,10566.6666666667,123093.467506088,0,100
