"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_10","area_sentinel_id_7","area_sentinel_id_9"
"2",2.1,"P","2",49.4409484863281,92.8125,0.8686,"1",334169.954938523,81852.2056371109,11528.9764051636
"1",13,"K","1",147.702987670898,14.4927,1.72,"2",0,4866.66666666667,933.333333333333
"2",5.8,"P","3",111.643310546875,17.11544,1.548,"3",1095019.50282872,0,14266.6666666667
"2",7.44,"P","2",175.043426513672,19.74599,2.666,"2",389556.910559086,2307.58780306205,0
"1",8,"K","1",114.605804443359,86.64376,1.032,"1",10666.6666666667,33.3333333333333,707.237869376938
"1",6,"P","2",103.988433837891,13.1011,1.29,"2",326160.764426509,44466.6666666667,24833.3333333333
"2",3.7,"P","2",156.875915527344,42.88756,4.816,"2",693033.094918164,0,20692.849887566
"1",41,"P","1",224.512405395508,66.5625,1.032,"2",791890.725038435,5477.97501484553,13133.3333333333
"1",8.5,"P","2",60.130859375,92.8125,1.376,"1",339087.26057975,7259.20079646942,0
"1",3.8,"P","3",248.814041137695,28.28132,3.053,"1",96198.1133639094,33.3333333333333,2831.55342830966
"1",40,"K","2",57.7152786254883,15.474275,1.419,"2",148607.607895317,14500,95897.7613376238
"1",3.8,"P","2",72.3473281860352,66.5625,0.989,"2",11933.3333333333,0,0
"1",17.7,"P","2",30.5210781097412,92.8125,1.29,"1",0,6193.17021681927,2256.68596448377
"1",19,"P","2",142.187576293945,92.8125,2.064,"1",1020042.76580598,0,0
"1",2.2,"P","3",295.979248046875,15.1885,3.612,"2",133091.955965538,0,6533.33333333333
"1",9.9,"P","2",108.27254486084,92.8125,0.774,"1",485506.902886626,108177.007314749,0
"2",15,"P","1",192.3779296875,46.225085,1.161,"2",645058.407101258,0,1141.94356114128
"1",60,"P","2",78.5034027099609,92.8125,0.9288,"1",40151.7852519788,132919.794682889,190659.204967409
"1",3.5,"P","3",186.04460144043,64.83756,2.5542,"1",472751.635414243,0,16045.7972839475
"2",17,"P","2",133.644027709961,71.231593,1.548,"1",833755.81002594,11074.4274589667,0
"1",44,"P","2",95.2125625610352,86.95315,1.376,"1",600719.169721425,14756.9476382807,0
"1",47,"P","2",103.959457397461,65.5313,2.58,"1",11563.3901448426,136282.52621323,232039.168161686
"1",22,"P","2",117.784301757812,86.601589,0.9718,"1",892487.792462989,100,0
"1",9.2,"P","2",61.8614234924316,92.8125,0.946,"1",144504.225274977,50640.7633327394,13858.5703957748
"1",12,"K","1",138.858642578125,46.0063,2.752,"2",222637.775623545,1941.35613640149,466.666666666667
"1",4,"P","3",198.897811889648,31.26994,1.935,"1",297449.067658451,18633.3333333333,24881.5774495713
"1",62.09,"P","2",73.6549530029297,68.71567,0.946,"1",71084.0899279031,2958.10856752408,687.284820806235
"1",6.4,"P","3",214.010650634766,54.37193,1.548,"2",331935.115679806,3700,14940.3652463574
"2",2.5,"P","2",145.246429443359,32.983565,3.01,"1",155047.369808198,2359.78913257519,803.843412533267
"2",5,"P","2",184.212127685547,89.7375,0.946,"1",1063167.01025887,900,0
"1",23,"P","2",54.8250427246094,86.95315,1.376,"1",28776.2754752781,23663.3258742591,0
"2",10.36,"P","3",196.852890014648,19.74599,2.666,"2",1146340.216787,1800,2464.23198260988
"1",50,"P","2",69.952751159668,72.978175,1.376,"1",262155.603275653,0,65508.7672710419
